date,closing-amount
11/15/1954,33.47
11/16/1954,33.57
11/17/1954,33.63
11/18/1954,33.44
11/19/1954,33.45
11/22/1954,33.58
11/23/1954,34.03
11/24/1954,34.22
11/26/1954,34.55
11/29/1954,34.54
11/30/1954,34.24
12/1/1954,33.99
12/2/1954,34.18
12/3/1954,34.49
12/6/1954,34.76
12/7/1954,34.92
12/8/1954,34.86
12/9/1954,34.69
12/10/1954,34.56
12/13/1954,34.59
12/14/1954,34.35
12/15/1954,34.56
12/16/1954,34.93
12/17/1954,35.92
12/20/1954,35.33
12/21/1954,35.38
12/22/1954,35.34
12/23/1954,35.37
12/27/1954,35.07
12/28/1954,35.43
12/29/1954,35.74
12/30/1954,35.74
12/31/1954,35.98
1/3/1955,36.75
1/4/1955,36.42
1/5/1955,35.52
1/6/1955,35.04
1/7/1955,35.33
1/10/1955,35.79
1/11/1955,35.68
1/12/1955,35.58
1/13/1955,35.43
1/14/1955,35.28
1/17/1955,34.58
1/18/1955,34.8
1/19/1955,34.96
1/20/1955,35.13
1/21/1955,35.44
1/24/1955,35.52
1/25/1955,35.51
1/26/1955,35.95
1/27/1955,35.99
1/28/1955,36.19
1/31/1955,36.63
2/1/1955,36.72
2/2/1955,36.61
2/3/1955,36.44
2/4/1955,36.96
2/7/1955,36.96
2/8/1955,36.46
2/9/1955,36.75
2/10/1955,37.08
2/11/1955,37.15
2/14/1955,36.89
2/15/1955,36.89
2/16/1955,36.77
2/17/1955,36.84
2/18/1955,36.89
2/21/1955,36.85
2/23/1955,36.82
2/24/1955,36.62
2/25/1955,36.57
2/28/1955,36.76
3/1/1955,36.83
3/2/1955,37.15
3/3/1955,37.29
3/4/1955,37.52
3/7/1955,37.28
3/8/1955,36.58
3/9/1955,36.22
3/10/1955,36.45
3/11/1955,35.82
3/14/1955,34.96
3/15/1955,35.71
3/16/1955,35.98
3/17/1955,36.12
3/18/1955,36.18
3/21/1955,35.95
3/22/1955,36.17
3/23/1955,36.64
3/24/1955,36.93
3/25/1955,36.96
3/28/1955,36.83
3/29/1955,36.85
3/30/1955,36.52
3/31/1955,36.58
4/1/1955,36.95
4/4/1955,36.83
4/5/1955,36.98
4/6/1955,37.17
4/7/1955,37.34
4/11/1955,37.44
4/12/1955,37.66
4/13/1955,37.71
4/14/1955,37.79
4/15/1955,37.96
4/18/1955,38.27
4/19/1955,38.22
4/20/1955,38.28
4/21/1955,38.32
4/22/1955,38.01
4/25/1955,38.11
4/26/1955,38.31
4/27/1955,38.11
4/28/1955,37.68
4/29/1955,37.96
5/2/1955,38.04
5/3/1955,37.7
5/4/1955,37.64
5/5/1955,37.82
5/6/1955,37.89
5/9/1955,37.93
5/10/1955,37.85
5/11/1955,37.42
5/12/1955,37.2
5/13/1955,37.44
5/16/1955,37.02
5/17/1955,36.97
5/18/1955,37.28
5/19/1955,37.49
5/20/1955,37.74
5/23/1955,37.48
5/24/1955,37.46
5/25/1955,37.6
5/26/1955,37.85
5/27/1955,37.93
5/31/1955,37.91
6/1/1955,37.96
6/2/1955,38.01
6/3/1955,38.37
6/6/1955,39.69
6/7/1955,39.96
6/8/1955,39.22
6/9/1955,39.01
6/10/1955,39.25
6/13/1955,39.62
6/14/1955,39.67
6/15/1955,39.89
6/16/1955,39.96
6/17/1955,40.1
6/20/1955,40.14
6/21/1955,40.51
6/22/1955,40.6
6/23/1955,40.75
6/24/1955,40.96
6/27/1955,40.99
6/28/1955,40.77
6/29/1955,40.79
6/30/1955,41.03
7/1/1955,41.19
7/5/1955,41.69
7/6/1955,43.18
7/7/1955,42.58
7/8/1955,42.64
7/11/1955,42.75
7/12/1955,42.75
7/13/1955,42.24
7/14/1955,42.25
7/15/1955,42.4
7/18/1955,42.36
7/19/1955,42.1
7/20/1955,42.23
7/21/1955,42.64
7/22/1955,43
7/25/1955,43.48
7/26/1955,43.58
7/27/1955,43.76
7/28/1955,43.5
7/29/1955,43.52
8/1/1955,42.93
8/2/1955,43.03
8/3/1955,43.09
8/4/1955,42.36
8/5/1955,42.56
8/8/1955,42.31
8/9/1955,41.75
8/10/1955,41.74
8/11/1955,42.13
8/12/1955,42.21
8/15/1955,42.17
8/16/1955,41.86
8/17/1955,41.9
8/18/1955,41.84
8/19/1955,42.02
8/22/1955,41.98
8/23/1955,42.55
8/24/1955,42.61
8/25/1955,42.8
8/26/1955,42.99
8/29/1955,42.96
8/30/1955,42.92
8/31/1955,43.18
9/1/1955,43.37
9/2/1955,43.6
9/6/1955,43.86
9/7/1955,43.85
9/8/1955,43.88
9/9/1955,43.89
9/12/1955,44.19
9/13/1955,44.8
9/14/1955,44.99
9/15/1955,44.75
9/16/1955,45.09
9/19/1955,45.16
9/20/1955,45.13
9/21/1955,45.39
9/22/1955,45.39
9/23/1955,45.63
9/26/1955,42.61
9/27/1955,43.58
9/28/1955,44.31
9/29/1955,44.03
9/30/1955,43.67
10/3/1955,42.49
10/4/1955,42.82
10/5/1955,42.99
10/6/1955,42.7
10/7/1955,42.38
10/10/1955,41.15
10/11/1955,40.8
10/12/1955,41.52
10/13/1955,41.39
10/14/1955,41.22
10/17/1955,41.35
10/18/1955,41.65
10/19/1955,42.07
10/20/1955,42.59
10/21/1955,42.59
10/24/1955,42.91
10/25/1955,42.63
10/26/1955,42.29
10/27/1955,42.34
10/28/1955,42.37
10/31/1955,42.34
11/1/1955,42.28
11/2/1955,42.35
11/3/1955,43.24
11/4/1955,43.96
11/7/1955,44.15
11/9/1955,44.61
11/10/1955,44.72
11/11/1955,45.24
11/14/1955,46.41
11/15/1955,46.21
11/16/1955,45.91
11/17/1955,45.59
11/18/1955,45.54
11/21/1955,45.22
11/22/1955,45.66
11/23/1955,45.72
11/25/1955,45.68
11/28/1955,45.38
11/29/1955,45.56
11/30/1955,45.51
12/1/1955,45.35
12/2/1955,45.44
12/5/1955,45.7
12/6/1955,45.7
12/7/1955,45.55
12/8/1955,45.82
12/9/1955,45.89
12/12/1955,45.42
12/13/1955,45.45
12/14/1955,45.07
12/15/1955,45.06
12/16/1955,45.13
12/19/1955,45.02
12/20/1955,44.95
12/21/1955,45.84
12/22/1955,45.41
12/23/1955,45.5
12/27/1955,45.22
12/28/1955,45.05
12/29/1955,45.15
12/30/1955,45.48
1/3/1956,45.16
1/4/1956,45
1/5/1956,44.95
1/6/1956,45.14
1/9/1956,44.51
1/10/1956,44.16
1/11/1956,44.38
1/12/1956,44.75
1/13/1956,44.67
1/16/1956,44.14
1/17/1956,44.47
1/18/1956,44.17
1/19/1956,43.72
1/20/1956,43.22
1/23/1956,43.11
1/24/1956,43.65
1/25/1956,43.72
1/26/1956,43.46
1/27/1956,43.35
1/30/1956,43.5
1/31/1956,43.82
2/1/1956,44.03
2/2/1956,44.22
2/3/1956,44.78
2/6/1956,44.81
2/7/1956,44.6
2/8/1956,44.16
2/9/1956,43.66
2/10/1956,43.64
2/13/1956,43.58
2/14/1956,43.42
2/15/1956,44.04
2/16/1956,43.82
2/17/1956,44.52
2/20/1956,44.45
2/21/1956,44.56
2/23/1956,44.95
2/24/1956,45.32
2/27/1956,45.27
2/28/1956,45.43
2/29/1956,45.34
3/1/1956,45.54
3/2/1956,45.81
3/5/1956,46.06
3/6/1956,46.04
3/7/1956,46.01
3/8/1956,46.12
3/9/1956,46.7
3/12/1956,47.13
3/13/1956,47.06
3/14/1956,47.53
3/15/1956,47.99
3/16/1956,48.14
3/19/1956,48.59
3/20/1956,48.87
3/21/1956,48.23
3/22/1956,48.72
3/23/1956,48.83
3/26/1956,48.62
3/27/1956,48.25
3/28/1956,48.51
3/29/1956,48.48
4/2/1956,48.7
4/3/1956,48.53
4/4/1956,48.8
4/5/1956,48.57
4/6/1956,48.85
4/9/1956,48.61
4/10/1956,47.93
4/11/1956,48.31
4/12/1956,48.02
4/13/1956,47.95
4/16/1956,47.96
4/17/1956,47.93
4/18/1956,47.74
4/19/1956,47.57
4/20/1956,47.76
4/23/1956,47.65
4/24/1956,47.26
4/25/1956,47.09
4/26/1956,47.49
4/27/1956,47.99
4/30/1956,48.38
