country,type,weekday,year,month,day,date,localtime,date-localtime,timeofday,ISO8601Time
usa,Atmospheric,Monday,1957,12,9,12/9/1957,12:00:00,12/9/1957 12:00:00,Afternoon,1957-12-09
ussr,Atmospheric,Saturday,1957,12,28,12/28/1957,3:00:00,12/28/1957 3:00:00,Night,1957-12-28
ussr,Atmospheric,Saturday,1958,1,4,1/4/1958,3:00:00,1/4/1958 3:00:00,Night,1958-01-04
ussr,Atmospheric,Friday,1958,1,17,1/17/1958,3:00:00,1/17/1958 3:00:00,Night,1958-01-17
usa,Underground,Saturday,1958,2,22,2/22/1958,17:00:00,2/22/1958 17:00:00,Afternoon,1958-02-22
ussr,Atmospheric,Sunday,1958,2,23,2/23/1958,3:00:00,2/23/1958 3:00:00,Night,1958-02-23
ussr,Atmospheric,Thursday,1958,2,27,2/27/1958,10:59:00,2/27/1958 10:59:00,Morning,1958-02-27
ussr,Atmospheric,Thursday,1958,2,27,2/27/1958,13:24:00,2/27/1958 13:24:00,Afternoon,1958-02-27
ussr,Atmospheric,Thursday,1958,3,13,3/13/1958,3:00:00,3/13/1958 3:00:00,Night,1958-03-13
ussr,Atmospheric,Thursday,1958,3,13,3/13/1958,3:00:00,3/13/1958 3:00:00,Night,1958-03-13
ussr,Atmospheric,Friday,1958,3,14,3/14/1958,3:00:00,3/14/1958 3:00:00,Night,1958-03-14
ussr,Atmospheric,Friday,1958,3,14,3/14/1958,3:00:00,3/14/1958 3:00:00,Night,1958-03-14
usa,Underground,Friday,1958,3,14,3/14/1958,14:00:00,3/14/1958 14:00:00,Afternoon,1958-03-14
ussr,Atmospheric,Saturday,1958,3,15,3/15/1958,3:00:00,3/15/1958 3:00:00,Night,1958-03-15
ussr,Atmospheric,Saturday,1958,3,15,3/15/1958,3:00:00,3/15/1958 3:00:00,Night,1958-03-15
ussr,Atmospheric,Tuesday,1958,3,18,3/18/1958,3:00:00,3/18/1958 3:00:00,Night,1958-03-18
ussr,Atmospheric,Thursday,1958,3,20,3/20/1958,3:00:00,3/20/1958 3:00:00,Night,1958-03-20
ussr,Atmospheric,Friday,1958,3,21,3/21/1958,3:00:00,3/21/1958 3:00:00,Night,1958-03-21
ussr,Atmospheric,Saturday,1958,3,22,3/22/1958,3:00:00,3/22/1958 3:00:00,Night,1958-03-22
uk,Atmospheric,Monday,1958,4,28,4/28/1958,19:05,4/28/1958 19:05:00,Evening,1958-04-28
usa,Atmospheric,Monday,1958,4,28,4/28/1958,19:40:00,4/28/1958 19:40:00,Evening,1958-04-28
usa,Atmospheric,Monday,1958,5,5,5/5/1958,11:15:00,5/5/1958 11:15:00,Morning,1958-05-05
usa,Atmospheric,Sunday,1958,5,11,5/11/1958,10:50:00,5/11/1958 10:50:00,Morning,1958-05-11
usa,Atmospheric,Sunday,1958,5,11,5/11/1958,11:15:00,5/11/1958 11:15:00,Morning,1958-05-11
usa,Atmospheric,Monday,1958,5,12,5/12/1958,11:30:00,5/12/1958 11:30:00,Morning,1958-05-12
